id;origen;transporte_principal;transporte_clave;transporte_secundario;ocupantes;factor_ocupacion;viaje_exclusivo;factor_atribucion;lat;lon;distancia_km;transporte_original;anomalia_tipo;anomalia_accion;co2_principal;co2_secundario;co2_transporte;co2_local;co2_alojamiento;alojamiento_tipo;noches;co2_total;nota
1;Calle San Juan de Ortega 52;Taxi;gasolina;;Solo yo;1;Sí exclusivamente;1.0;42.449834;-3.683486;270.63;taxi;TAXI_DIST>100km;reclasificar;97.427;0.0;97.427;0.0;0.0;;0;97.427;[SAFEGUARD] Taxi con distancia > 100 km → reclasificado como Coche (gasolina/diésel). 
2;puerta del sol madrid;Taxi;taxi;;Solo yo;1;Sí exclusivamente;1.0;40.429913;-3.669245;5.86;taxi;;;2.227;0.0;2.227;0.0;45.0;apartamento;3;47.227;
3;Salamanca;Vehículo gasolina;gasolina;;Solo yo;1;Sí exclusivamente;1.0;40.968136;-5.662155;213.1;gasolina;;;76.716;0.0;76.716;0.0;0.0;;0;76.716;
4;El encinar de los Reyes;Vehículo eléctrico;electrico;;Solo yo;1;Sí exclusivamente;1.0;40.514481;-3.655879;21.83;electrico;;;2.183;0.0;2.183;0.0;0.0;;0;2.183;
5;Puerta del ángel;Tren;tren;;Solo yo;1;Sí exclusivamente;1.0;40.413828;-3.727131;2.12;tren;;;0.148;0.0;0.148;0.0;0.0;;0;0.148;
6;Madrid;Vehículo compartido (carsharing);gasolina;;Solo yo;1;Sí exclusivamente;1.0;40.429913;-3.669245;5.86;gasolina;;;2.11;0.0;2.11;0.0;0.0;;0;2.11;
7;Aravaca;Vehículo diesel;gasolina;;Solo yo;1;Sí exclusivamente;1.0;40.457744;-3.782922;9.97;gasolina;;;3.589;0.0;3.589;0.0;0.0;;0;3.589;
8;Conde casal;Tren;tren;;Solo yo;1;Sí exclusivamente;1.0;43.5;-7.0;580.18;tren;;;40.613;0.0;40.613;0.0;0.0;;0;40.613;
9;Vallecas;Vehículo eléctrico;electrico;;Solo yo;1;Sí exclusivamente;1.0;40.390051;-3.654644;6.27;electrico;;;0.627;0.0;0.627;0.0;0.0;;0;0.627;
10;Nuevos ministerios;Metro;metro;;Solo yo;1;Sí exclusivamente;1.0;40.443927;-3.694186;5.46;metro;;;0.328;0.0;0.328;0.0;0.0;;0;0.328;
11;Getafe;Tren;tren;;Solo yo;1;Sí exclusivamente;1.0;40.30904;-3.733448;14.77;tren;;;1.034;0.0;1.034;0.0;0.0;;0;1.034;
12;Retiro;Tren;tren;;Solo yo;1;Sí exclusivamente;1.0;40.411532;-3.678168;4.13;tren;;;0.289;0.0;0.289;0.0;0.0;;0;0.289;
13;Corabanchem;Metro;metro;;Solo yo;1;Sí exclusivamente;1.0;40.379069;-3.740223;7.12;metro;;;0.427;0.0;0.427;0.0;0.0;;0;0.427;
14;Aranjuez;Tren;tren;;Solo yo;1;Sí exclusivamente;1.0;40.03323;-3.602144;48.77;tren;;;3.414;0.0;3.414;0.0;0.0;;0;3.414;
15;Madrid;Vehículo eléctrico;electrico;;Solo yo;1;Sí exclusivamente;1.0;40.429913;-3.669245;5.86;electrico;;;0.586;0.0;0.586;0.0;0.0;;0;0.586;
16;Caramuel;Taxi;taxi;;Solo yo;1;Sí exclusivamente;1.0;40.091214;-3.459133;58.34;taxi;;;22.169;0.0;22.169;0.0;0.0;;0;22.169;
18;Fuencarral;Tren;tren;;Solo yo;1;Sí exclusivamente;1.0;40.495001;-3.693145;15.94;tren;;;1.116;0.0;1.116;0.0;0.0;;0;1.116;
19;Aravaca;Bus metro;metro;;Solo yo;1;Sí exclusivamente;1.0;40.457744;-3.782922;9.97;metro;;;0.598;0.0;0.598;0.0;0.0;;0;0.598;
20;Núñez de Balboa;Vehículo híbrido;hibrido;;Solo yo;1;Sí exclusivamente;1.0;42.75;-7.81667;536.3;hibrido;;;128.712;0.0;128.712;0.0;0.0;;0;128.712;
